Date,Adj CloseT,Adj CloseR,Adj CloseA,Adj CloseH,Adj CloseI,Adj CloseB,Adj CloseINF
2020-07-30,103.6500015258789,2102.087890625,550.7587890625,1034.098876953125,175.4956817626953,360.7549133300781,923.033935546875
2020-07-31,104.6500015258789,2060.4716796875,552.9012451171875,1016.5301513671875,176.22181701660156,356.1927185058594,927.402099609375
2020-08-03,113.05000305175781,2002.557861328125,545.4275512695312,986.2152709960938,174.81494140625,359.6358947753906,918.6658325195312
2020-08-04,111.44999694824219,2143.703857421875,547.07177734375,1025.24072265625,175.76797485351562,351.6736145019531,911.8974609375
2020-08-05,115.4000015258789,2119.63134765625,556.9868774414062,1011.36279296875,174.99647521972656,353.3091125488281,906.9532470703125
2020-08-06,116.80000305175781,2127.2568359375,555.2999877929688,1024.3055419921875,177.31100463867188,352.534423828125,932.058349609375
2020-08-07,119.0999984741211,2139.567138671875,560.7999877929688,1027.406005859375,177.9463653564453,361.3144226074219,912.905517578125
2020-08-10,123.8499984741211,2113.052490234375,558.8499755859375,1034.098876953125,180.48782348632812,357.35479736328125,913.3374633789062
2020-08-11,122.30000305175781,2126.957763671875,551.0999755859375,1049.846923828125,184.2999725341797,369.49188232421875,910.5534057617188
2020-08-12,125.3499984741211,2120.77783203125,547.7000122070312,1046.943359375,185.3437957763672,363.0790100097656,916.7936401367188
2020-08-13,131.14999389648438,2115.245361328125,535.3499755859375,1042.3665771484375,182.8477020263672,362.51953125,913.1934814453125
2020-08-14,124.5999984741211,2107.02197265625,528.5999755859375,1018.154052734375,178.2640380859375,355.7193298339844,915.4976196289062
2020-08-17,123.55000305175781,2084.64404296875,521.4000244140625,1016.4808349609375,180.39703369140625,351.1141052246094,919.2418212890625
2020-08-18,125.5999984741211,2111.756591796875,526.2999877929688,1039.8568115234375,180.2155303955078,346.2937316894531,928.89013671875
2020-08-19,125.1500015258789,2124.715087890625,535.8499755859375,1049.797607421875,180.12474060058594,347.4988708496094,920.9697875976562
2020-08-20,121.69999694824219,2090.32568359375,525.5499877929688,1042.3173828125,177.71946716308594,355.03070068359375,916.9857177734375
2020-08-21,120.9000015258789,2075.17431640625,520.25,1068.547607421875,178.62710571289062,353.0078430175781,910.8893432617188
2020-08-24,121.19999694824219,2089.02978515625,526.9000244140625,1099.452880859375,178.5363311767578,352.7065734863281,909.5452880859375
2020-08-25,127.0999984741211,2075.423583984375,528.6500244140625,1102.06103515625,177.35638427734375,355.4180603027344,900.616943359375
2020-08-26,137.89999389648438,2130.446533203125,514.5,1100.830810546875,176.94793701171875,353.0078430175781,912.8095092773438
2020-08-27,144.25,2103.832275390625,511.1499938964844,1094.5809326171875,176.31259155273438,355.4610900878906,909.209228515625
2020-08-28,142.8000030517578,2109.3642578125,523.4500122070312,1096.943115234375,177.49252319335938,357.2687683105469,897.8807373046875
2020-08-31,143.1999969482422,2074.028076171875,513.0999755859375,1098.271728515625,173.45346069335938,351.0280456542969,891.4964599609375
2020-09-01,143.8000030517578,2080.556884765625,546.25,1109.5413818359375,172.63656616210938,350.5545959472656,877.6239013671875
2020-09-02,150.3000030517578,2121.375732421875,550.5499877929688,1116.283447265625,173.6803741455078,356.3218688964844,887.0802612304688
2020-09-03,151.85000610351562,2105.327392578125,538.0,1113.084716796875,173.9073028564453,355.8484191894531,898.1688232421875
2020-09-04,147.8000030517578,2070.589111328125,523.1500244140625,1101.66748046875,169.45977783203125,347.1975402832031,882.4241943359375
2020-09-07,149.39999389648438,2075.9716796875,515.4500122070312,1093.0059814453125,171.6381378173828,344.4861145019531,888.08837890625
2020-09-08,142.3000030517578,2100.343505859375,498.1000061035156,1094.92529296875,170.77586364746094,354.7294006347656,901.7689819335938
2020-09-09,140.10000610351562,2154.41943359375,504.25,1079.2265625,166.8275604248047,349.43560791015625,890.6804809570312
2020-09-10,143.3000030517578,2306.579833984375,497.3500061035156,1073.3704833984375,167.8259735107422,370.39569091796875,902.489013671875
2020-09-11,144.3000030517578,2312.3115234375,491.6499938964844,1061.6578369140625,166.9636993408203,369.0614929199219,907.9132080078125
2020-09-14,148.5500030517578,2295.166748046875,474.1000061035156,1041.2838134765625,166.4191131591797,359.07635498046875,939.3067016601562
2020-09-15,148.39999389648438,2311.41455078125,485.54998779296875,1053.6361083984375,165.01223754882812,356.709228515625,943.1949462890625
2020-09-16,151.4499969482422,2317.09619140625,481.75,1076.4215087890625,163.9684295654297,355.54718017578125,961.7236938476562
2020-09-17,147.64999389648438,2291.37890625,479.0,1066.52978515625,162.10772705078125,357.7421875,970.6040649414062
2020-09-18,147.89999389648438,2298.306396484375,494.54998779296875,1040.6441650390625,162.5615692138672,354.6863708496094,962.1077880859375
2020-09-21,137.4499969482422,2248.616455078125,467.75,1032.7701416015625,159.52090454101562,345.56207275390625,969.5480346679688
2020-09-22,133.10000610351562,2204.0595703125,470.95001220703125,1019.089111328125,158.11402893066406,337.5567626953125,967.2439575195312
2020-09-23,131.39999389648438,2223.646728515625,433.79998779296875,1030.75244140625,156.57101440429688,333.6832580566406,979.0045166015625
2020-09-24,122.80000305175781,2174.205810546875,419.29998779296875,1014.1679077148438,151.17044067382812,324.7310791015625,936.4266357421875
2020-09-25,127.25,2194.639892578125,439.6499938964844,1027.5535888671875,154.98260498046875,323.4399108886719,971.0360717773438
2020-09-28,132.85000610351562,2209.143310546875,443.6499938964844,1037.5928955078125,157.29714965820312,331.53125,970.0281372070312
2020-09-29,131.6999969482422,2237.85107421875,435.6000061035156,1045.8115234375,153.7572784423828,332.7363586425781,968.6839599609375
